,Title,Company,City,State
249,Data Scientist,Visa ,Atlanta, GA
250,"Data Scientist II, Charging & Energy",Rivian ,Palo Alto, CA
251,Data Scientist,QIAGEN ,,
252,Lead Machine Learning Engineer,Kforce ,South Jordan, UT
253,Data Scientist – BCG X,Boston Consulting Group ,Remote,
254,Postdoctoral Scientist - Zhang Lab - Division of Artificial Intelligence in Medicine (AIM),CEDARSSINAI ,Los Angeles, CA
255,Senior Machine Learning Engineer,Vichara Technologies Inc ,Remote,
256,Video Editor - AI Programmer,Parent Party ,New York, NY
257,Senior Data Scientist/ Tableau / Data Insights/ML,Apple ,Austin, TX
258,"Data Scientist , OpsTech Infra Eng.",Amazoncom Services LLC ,Dallas, TX
259,Data Scientist,INTEL ,Santa Clara, CA
260,"Associate, Data Science",BlackRock ,Palo Alto, CA
261,Computer Scientist (Data Scientist),Centers for Disease Control and Prevention ,Atlanta, GA
262,Data Scientist I or II - Card Fraud Analytics,Truist Bank ,Atlanta, GA
263,Data Scientist,Resultant ,Indianapolis, IN
264,Senior Data Scientist,Modern Technology Solutions Inc ,Beavercreek, OH
265,DATA SCIENTIST,Data and Analytic Solutions Inc DAS,Fairfax, VA
266,AI Support Specialist,Altria ,Richmond, VA
267,Data Analytics Engineer,Rush Enterprises ,New Braunfels, TX
268,Data Scientist,Hang,California,
269,Data Scientist,Caterpillar ,Peoria, IL
270,Data Scientist,Deloitte ,Rosslyn, VA
271,Jr. Statistical Analyst,DrFirst Inc ,United States,
272,Data Scientist I-Marketing Analytics,Cox Communications ,Atlanta, GA
273,Climate Data Scientist,ClimateAI ,United States,
274,"QA Automation Engineer III (Cypress, AI/ML)",Ayahealthcare ,Oregon,
275,Data Scientist,IBM ,San Jose, CA
276,"Senior Data Scientist, Analytics & Insights",The Bill  Melinda Gates Foundation ,Seattle, WA
277,Data Scientist,IEEE Corporate ,Piscataway, NJ
